query,priority,current_hits,expected_bucket,actual_bucket,relevant_content_exists,template_exists,gap_type,suggested_action
水果中文,P0,0,empty,empty,yes (13 zh-fruits items),yes (template-vocabulary),c1,Add 水果中文 and 中文水果 as direct aliases on template-vocabulary-english-chinese-* fruit items
unique cultural experiences,P0,0,empty,empty,no,no,c3,Template discovery needed: propose cultural-guide or destination-experience template
minimalist autumn outfit for japan travel,P0,0,empty,empty,no,yes (template-fashion-ecommerce / template-fashion-before-after-outfit-annotation-card),c2,"Batch-gen: template-fashion-ecommerce with {style: minimalist, season: autumn, destination: japan} params"
infj vs entp dating compatibility chart,P0,0,empty,empty,no,yes (template-mbti-relationship-infographic / template-mbti-comparison-infographic),c2,"Batch-gen: template-mbti-relationship-infographic with {type_a: INFJ, type_b: ENTP, topic: dating compatibility}"
easy weeknight dinners healthy,P0,0,empty,empty,no,yes (template-recipe / template-premium-recipe-card-infographic),c2,Batch-gen: template-recipe with weeknight healthy dinner params; add weeknight + healthy aliases to existing recipe items
gluten free dinner ideas,P0,0,empty,empty,no,yes (template-recipe / template-premium-recipe-card-infographic),c2,Batch-gen: template-recipe with gluten-free dinner params; add gluten free alias family
meal prep weekly recipes,P0,0,empty,empty,no,yes (template-recipe / template-food-recipe-tip-infographic),c2,Batch-gen: template-recipe with meal-prep/weekly params; add meal prep + weekly meal aliases; consider plural stemming fix
cuban sandwich recipe poster,P1,1,rich,thin,yes (1 exact: template-food-cuban-sandwich),yes (template-food / template-recipe),c2,Batch-gen more food-poster sandwich/street-food variants so relaxed pool grows to rich threshold
bilingual flashcards for kids learning korean fruits,P1,1,rich,thin,yes (1 exact: template-vocabulary-english-korean-fruits),yes (template-vocabulary / template-kids-vocabulary-poster),c2,Batch-gen more en-ko vocab sets (vegetables/animals/colors/body parts) with bilingual+flashcards+kids aliases already on template
watercolor map of europe travel destinations,P1,1,moderate,thin,yes (1 exact: template-watercolor-world-map-illustration-europe),yes (template-watercolor-world-map-illustration),c2,Batch-gen more regional watercolor maps with travel destinations alias; or add destinations alias to adjacent European travel content
before after kitchen organization makeover,P1,2,moderate,thin,yes (2 kitchen before-after items),yes (template-home-organization-before-after),c2,Batch-gen 3+ more before-after room organization items (living room / bathroom / closet / office) with makeover alias
paris travel itinerary,P1,2,rich,thin,yes (2 paris items with itinerary context),yes (template-tourist-spot-watercolor-map-infographic / template-city-miniature),c2,Batch-gen more Paris travel map content (neighborhoods/day-trip routes); add itinerary alias to broader Paris travel items
architecture empire state building,P1,1,rich,thin,yes (1 exact: template-architecture-empire-state-building),yes (template-architecture),c2,Batch-gen more landmark architecture cards (Eiffel Tower / Colosseum / Big Ben / Sagrada Familia)
childhood snacks then vs now,P1,1,rich,thin,yes (1 exact: template-then-vs-now-comparison-infographic-childhood-snacks),yes (template-then-vs-now),c2,Batch-gen more then-vs-now comparison topics (tech gadgets / fashion styles / music formats / school life)
warmup routine running checklist,P1,1,rich,thin,yes (1 exact: template-warmup-routine-running),yes (template-warmup-routine),c2 (+ c1 sub-fix),c1 sub-fix: add checklist alias to gym/yoga/cycling warmup items; c2: batch-gen more running warmup checklist variants (5K / trail / sprint)
vintage stamp collection garden birds,P1,1,rich,thin,yes (1 exact: template-vintage-stamp-collection-illustration-garden-birds),yes (template-vintage-stamp-collection-illustration),c2,Batch-gen more stamp collection nature topics (ocean life / butterflies / autumn foliage / wildflowers)
cozy reading aesthetic,P1,1,thin,thin,marginally (1 relaxed via cozy-winter-tea watercolor),yes (template-book-recommendation-grid-poster / template-lifestyle-watercolor-infographic),c2,Batch-gen: template-lifestyle-watercolor-infographic with {theme: cozy reading corner} params
