gap_id,title,affected_surface,root_cause_location,severity,effort,priority_tier,description
G1,Plural stemming single-token-only,Inspiration + Template recall,page.tsx:buildSearchTokens():156,HIGH,LOW,T1,"Multi-word queries with plural tokens (recipes/dinners/ideas) never get stemmed; only single-token queries stem. Breaks recall for common natural-language queries."
G2,Content family catalog density,Inspiration recall,public/data/nano_inspiration.json,HIGH,HIGH,T3,"Entire content families (weeknight recipe healthy/gluten-free/meal-prep) have 0 inspirations despite having templates. Search can't recall what doesn't exist. Requires content generation."
G3,Flat token-count scoring no field weights,Inspiration ranking,page.tsx:scoreBlob(),HIGH,MEDIUM,T1,"All blob fields (template_id/tags/topics/params/locale) weighted equally. A match in a param value ranks identically to a match in the template_id slug. Results within score tiers are essentially random."
G4,Template bulk-promotion score-100 flood,Inspiration ranking,page.tsx:scoreQueryTokens():499,MEDIUM,LOW,T1,"When a template's i18n blob strictly matches, ALL its inspirations are promoted to score=100. A 168-inspiration template floods top results; order within the promoted group is JSON-insert-order, not quality."
G5,rank_score unused in search ranking,Template + Inspiration ordering,nano_page_data.ts vs page.tsx,MEDIUM,LOW,T2,"Templates carry rank_score (1–155); used in browse/topic feeds but not in search inspiration ranking. High-quality templates get no search lift."
G6,Concept expansion covers templates only,Inspiration recall,page.tsx:643–668 + template_concept_expansion.ts,MEDIUM,MEDIUM,T2,"CONCEPT_SYNONYMS expansion only adds to matchedTemplateIdsByI18nUnion (template rail). Inspiration blob scoring uses only the original query tokens, so template rail and inspiration grid diverge for concept-expanded queries."
G7,Gallery prompts exact-tag match only,Gallery rail,page.tsx:galleryTagCandidates,LOW,MEDIUM,T3,"Gallery prompts only surface when query exactly matches a known nano-banana tag. No fuzzy or token-overlap matching. Gallery is invisible for the vast majority of queries."
G8,QUERY_ALIASES nearly empty 2 entries,All surfaces,lib/query_normalize.ts:24,MEDIUM,LOW,T2,"Canonical normalization alias table has only cats→cat and kittens→kitten. Predictable content-domain aliases such as recipes→recipe are not registered; alias coverage relies on per-record search_aliases instead."
G9,CJK bigram window generates non-words,CJK query recall,page.tsx:buildSearchTokens():173–183,MEDIUM,LOW,T1,"Naive character sliding window on CJK queries generates cross-word-boundary bigrams such as 果中 from 水果中文 that never appear in any real Chinese text. Inflates possible-bigram count, raising effective match threshold."
G10,Generable templates section isolated from main pipeline,UX coherence,searchTemplateMatch.ts + GenerableTemplatesSection.tsx,LOW,LOW,T2,"LLM generable-template section is a completely independent client-side call with no deduplication against the main template rail. Same template can appear twice on the page. Process-local LRU cache is irrelevant in Vercel serverless because it is empty on every cold-start."
