query,source_file,original_classification,new_classification,current_template_count,current_inspiration_count,relaxed_inspiration_count,templates_by_i18n,templates_by_inspiration,inventory_template_count,inventory_inspiration_count,missed_template_count,top_recalled_template_ids,top_missed_template_ids,root_cause,recommended_action
bilingual flashcards,boss feedback / external signal report,P1 template gap (boss report),ADEQUATE_TEMPLATE_RECALL,21,455,362,2,21,19,585,0,template-detailed-vocab-flashcard; template-chinese-idiom-learning-card; template-species-science; template-species; template-word-scene,template-cuisine-food-vocab-poster; template-multilingual-vocabulary-poster-watercolor; template-verb-action-learning-cards; template-english-phrasal-verb; template-chinese-verb-opposite-infographic,none identified,No action needed. Monitor for diversity regression.
bilingual flashcard,boss feedback,P1 template gap,ADEQUATE_TEMPLATE_RECALL,3,6,579,1,2,19,585,16,template-chinese-idiom-learning-card; template-detailed-vocab-flashcard; template-educational-flashcard-ontology-mindmap-infographic,template-species; template-vocabulary; template-english-top5-phrases; template-english-error-correction; template-english-dialogue-scene,none identified,No action needed. Monitor for diversity regression.
English Chinese flashcards,boss feedback,P1 template gap,ADEQUATE_TEMPLATE_RECALL,20,374,260,3,20,19,587,0,template-detailed-vocab-flashcard; template-cartoon-english-vocabulary-flashcards; template-chinese-idiom-learning-card; template-species-science; template-species,template-cuisine-food-vocab-poster; template-multilingual-vocabulary-poster-watercolor; template-verb-action-learning-cards; template-english-phrasal-verb; template-chinese-verb-opposite-infographic,none identified,No action needed. Monitor for diversity regression.
Chinese English flashcards,boss feedback,P1 template gap,ADEQUATE_TEMPLATE_RECALL,20,374,260,3,20,19,587,0,template-detailed-vocab-flashcard; template-cartoon-english-vocabulary-flashcards; template-chinese-idiom-learning-card; template-species-science; template-species,template-cuisine-food-vocab-poster; template-multilingual-vocabulary-poster-watercolor; template-verb-action-learning-cards; template-english-phrasal-verb; template-chinese-verb-opposite-infographic,none identified,No action needed. Monitor for diversity regression.
双语闪卡,boss feedback,P1 recall issue,ADEQUATE_TEMPLATE_RECALL,7,176,0,1,7,20,590,13,template-detailed-vocab-flashcard; template-vocabulary; template-children-english-vocab-spelling; template-daily-essentials-learning-card; template-bilingual-object-structure-labeling,template-species; template-english-top5-phrases; template-english-error-correction; template-english-dialogue-scene; template-cuisine-food-vocab-poster,none identified,No action needed. Monitor for diversity regression.
英语单词闪卡,boss feedback,P1 recall issue,ADEQUATE_TEMPLATE_RECALL,7,10,0,6,4,40,750,33,template-vocabulary; template-daily-essentials-learning-card; template-cartoon-english-vocabulary-flashcards; template-CVC-english-word-coloring-flower-card; template-english-word-difference-infographic,template-word-scene; template-english-top5-phrases; template-english-error-correction; template-english-dialogue-scene; template-detailed-vocab-flashcard,none identified,No action needed. Monitor for diversity regression.
词汇闪卡,boss feedback,P1 recall issue,ADEQUATE_TEMPLATE_RECALL,9,119,0,3,8,40,750,31,template-detailed-vocab-flashcard; template-cartoon-english-vocabulary-flashcards; template-verb-action-learning-cards; template-word-scene; template-vocabulary,template-english-top5-phrases; template-english-error-correction; template-english-dialogue-scene; template-daily-essentials-learning-card; template-native-english-expressions,none identified,No action needed. Monitor for diversity regression.
education flashcards,boss feedback,P1 template gap,ADEQUATE_TEMPLATE_RECALL,7,9,777,1,6,29,113,22,template-chinese-idiom-learning-card; template-species-science; template-vocabulary; template-detailed-vocab-flashcard; template-daily-essentials-learning-card,template-education; template-education-card; template-solar-term; template-city-miniature; template-english-top5-phrases,none identified,No action needed. Monitor for diversity regression.
education flashcard,boss feedback,P1 template gap,ADEQUATE_TEMPLATE_RECALL,2,1,112,1,1,29,113,27,template-chinese-idiom-learning-card; template-detailed-vocab-flashcard,template-education; template-education-card; template-solar-term; template-species-science; template-city-miniature,none identified,No action needed. Monitor for diversity regression.
EdTech flashcards,boss feedback,P1 template gap,TEMPLATE_RECALL_ISSUE,1,2,686,1,1,32,113,31,template-educational-flashcard-ontology-mindmap-infographic,template-education; template-education-card; template-solar-term; template-species-science; template-city-miniature,multi-token plural stem not applied (page.tsx only stems single-token queries); inspiration blobs missing relevant aliases/topics for these query tokens,Fix recall: add search_aliases to inspirations; add query terms to template i18n description/title. Root cause: multi-token plural stem not applied (page.tsx only stems single-token queries); inspiration blobs missing relevant aliases/topics for these query tokens
