index,query,tier1,primaryIntent,consumer_or_creator,key_categories,short_reason
1,单词,Vocabulary & Language,consumer,consumer,"vocabulary card, word list, Chinese-English",Bare CJK noun → users browse vocabulary reference imagery; no creation signal
2,卡通,Character & IP & Pop Culture,consumer,consumer,"cartoon character, anime style, kawaii, IP illustration",Brand/franchise browse; visual consumption of character imagery
3,吉伊卡哇,Character & IP & Pop Culture,consumer,consumer,"Chiikawa fan art, merchandise, character sticker",IP fandom browse; highly specific franchise character imagery
4,家居装饰,Lifestyle & Aesthetic,consumer,consumer,"home decor, interior design, room makeover, mood board",Home inspiration browse; creation (mood board) is secondary
5,工程,DIY / How-to / Craft,consumer,consumer,"engineering diagram, mechanical drawing, blueprint",Reference/technical browse; unclear creation intent
6,植物,Nature & Botanical,consumer,consumer,"plant species, botanical illustration, leaf identification",Visual browse of plant/botanical imagery; no creation signal
7,水果中文,Vocabulary & Language,creative,creator,"bilingual fruit vocabulary, Chinese flashcard, printable",Bilingual educational material — explicit printable/creation intent
8,电商详情图,Art & Design & Visual,creative,creator,"product detail page, e-commerce banner, layout template",Explicit design/production intent; e-commerce content creation
9,自行车,Lifestyle & Aesthetic,consumer,consumer,"bicycle photo, cycling lifestyle, bike diagram",General lifestyle browse; product/activity imagery consumption
10,葡萄酒,Lifestyle & Aesthetic,consumer,consumer,"wine photography, bottle label, lifestyle aesthetic",Aesthetic/lifestyle browse; wine imagery consumption
11,蔬菜,Nature & Botanical,consumer,consumer,"vegetable photo, botanical, cooking ingredient",Browse vegetable imagery; food/nature reference
12,词汇,Vocabulary & Language,creative,creator,"vocabulary poster, word list printable, educational card",Vocabulary — commonly sought as printable/poster; creation primary
13,趣味经济学知识科普,DIY / How-to / Craft,creative,creator,"economics infographic, science-pop poster, knowledge card",Create economics knowledge infographic; explicit creative output
14,音乐,Lifestyle & Aesthetic,consumer,consumer,"music aesthetic, album art, instrument photo",Browse music-themed imagery; aesthetic consumption
15,食物,Food & Recipe,consumer,consumer,"food photo, dish aesthetic, food styling",Browse food imagery/aesthetic; no explicit output intent
16,香薰,Lifestyle & Aesthetic,consumer,consumer,"aromatherapy, candle lifestyle, wellness product",Browse aromatherapy/candle product imagery; lifestyle consumption
17,唯美春天,Nature & Botanical,consumer,consumer,"spring aesthetic, flower photography, pastel nature",Aesthetic spring imagery browse; visual mood consumption
18,证件照,Art & Design & Visual,creative,creator,"ID photo, passport photo, portrait template",ID photo creation — explicit creative output; professional portrait
19,手作,DIY / How-to / Craft,creative,creator,"handcraft tutorial, DIY project, craft how-to",DIY craft creation — how-to and making content
20,historical character,Character & IP & Pop Culture,consumer,consumer,"historical figure portrait, period costume, classical painting",Browse historical character/figure imagery
21,future characters,Character & IP & Pop Culture,consumer,consumer,"sci-fi character, futuristic design, concept art",Browse futuristic character concept imagery
