"query","source_file","original_classification","new_classification","current_template_recall_count","current_inspiration_recall_count","relaxed_inspiration_count","inventory_candidate_template_count","inventory_candidate_inspo_count","missed_candidate_count","top_missed_template_ids","top_recalled_template_ids","evidence","recommended_action"
"bilingual flashcards","boss feedback / external signal report","P1 template gap (reported by boss)","ADEQUATE_RECALL","20","454","","36","817","24","template-evolution; template-character-comparison; template-battle; template-hotspot-card; template-mbti-nba","template-species-science; template-species; template-word-scene; template-mbti-animal; template-vocabulary","Current recall is 454 — already at or above the full-10 threshold.","No action needed. Monitor for diversity quality."
"bilingual flashcard","boss feedback","P1 template gap","ADEQUATE_RECALL","2","6","","36","817","34","template-evolution; template-word-scene; template-character-comparison; template-battle; template-hotspot-card","template-detailed-vocab-flashcard; template-educational-flashcard-ontology-mindmap-infographic","Current recall 6 is above LOW_RESULT_THRESHOLD=3. 36 templates in inventory.","Optional: add aliases to improve recall further. Not P0/P1."
"English Chinese flashcards","boss feedback","P1 template gap","ADEQUATE_RECALL","20","374","","36","819","24","template-evolution; template-character-comparison; template-battle; template-hotspot-card; template-mbti-nba","template-species-science; template-species; template-word-scene; template-mbti-animal; template-vocabulary","Current recall is 374 — already at or above the full-10 threshold.","No action needed. Monitor for diversity quality."
"Chinese English flashcards","boss feedback","P1 template gap","ADEQUATE_RECALL","20","374","","36","819","24","template-evolution; template-character-comparison; template-battle; template-hotspot-card; template-mbti-nba","template-species-science; template-species; template-word-scene; template-mbti-animal; template-vocabulary","Current recall is 374 — already at or above the full-10 threshold.","No action needed. Monitor for diversity quality."
"双语闪卡","boss feedback","P1 / recall issue (suspected)","ADEQUATE_RECALL","7","176","","37","818","30","template-evolution; template-species; template-word-scene; template-character-comparison; template-battle","template-vocabulary; template-children-english-vocab-spelling; template-detailed-vocab-flashcard; template-daily-essentials-learning-card; template-bilingual-object-structure-labeling","Current recall is 176 — already at or above the full-10 threshold.","No action needed. Monitor for diversity quality."
"英语单词闪卡","boss feedback","P1 / recall issue (suspected)","ADEQUATE_RECALL","5","15","","55","916","50","template-character-comparison; template-battle; template-hotspot-card; template-mbti-nba; template-mbti-breakingbad","template-word-scene; template-vocabulary; template-cartoon-english-vocabulary-flashcards; template-CVC-english-word-coloring-flower-card; template-phonics-consonant-blend","Current recall is 15 — already at or above the full-10 threshold.","No action needed. Monitor for diversity quality."
"词汇闪卡","boss feedback","P1 / recall issue (suspected)","ADEQUATE_RECALL","8","119","","55","916","47","template-character-comparison; template-battle; template-hotspot-card; template-mbti-nba; template-mbti-breakingbad","template-word-scene; template-vocabulary; template-children-english-vocab-spelling; template-detailed-vocab-flashcard; template-bilingual-object-structure-labeling","Current recall is 119 — already at or above the full-10 threshold.","No action needed. Monitor for diversity quality."
"education flashcard","boss feedback","P1 template gap","RECALL_ISSUE","1","1","","116","846","115","template-herbal; template-education; template-education-card; template-costume; template-word-scene","template-detailed-vocab-flashcard","116 templates in inventory, 846 inspirations potentially relevant, but strict search returns only 1. Relaxed mode adds 0 more.","Add search_aliases and/or topics to missed inspiration records. Missed templates: template-herbal, template-education, template-education-card, template-costume, template-word-scene"
"iCard","boss feedback","P1 template gap","UNCERTAIN","","","","","1","","","","Mixed signals. Current recall: 0, inventory templates: 0, inventory inspos: 1.","Manual review needed."
"paris travel itinerary","docs/daily_report/2026-06-19.md","WARN / REAL_CONTENT_GAP + EVAL_FALSE_POSITIVE","RECALL_ISSUE","2","2","","68","563","66","template-travel; template-weather; template-what-if-history; template-character-comparison; template-battle","template-city-miniature; template-tourist-spot-watercolor-map-infographic","68 templates in inventory, 563 inspirations potentially relevant, but strict search returns only 2. Relaxed mode adds 0 more.","Add search_aliases and/or topics to missed inspiration records. Missed templates: template-travel, template-weather, template-what-if-history, template-character-comparison, template-battle"
