query,previous_status,previous_template_count,current_template_count,current_top_templates,relevance_judgment,new_status,notes
电商详情图,P1 template_gap,4 (total results),1,E-commerce Fashion Detail Long Image Generator,Partial,Still P1,CJK multi-token AND failure; 电商+详情图 not bridged by topic slugs or concept expansion
趣味经济学知识科普,P1 template_gap,6 (total results),3,"Subject Knowledge Infographic Poster; Weird & Fascinating Facts Science Card; Hotspot Knowledge Card",Yes,Partial,3 relevant templates; CJK bigram matching improved by topic slug addition
证件照,P1 template_gap,6 (total results),3,"Portrait Retouching Blueprint; Hairstyle & Color Recommendation; Seasonal Lifestyle Photo Grid",Partial,Partial,2 of 3 directly relevant (portrait/photo); 1 loosely related
historical character,P1 retrieval_gap,5 (total results),11,"Historical & Modern Character Comparison Card; National Style Character Long Scroll; MBTI Character Visualization; Character Template Grid; AI Role-Play Character Sheet",Yes,Resolved,Topic slug addition resolved — historical+character match template topic slugs directly
homophones and homonyms,P1 template_gap,4 (total results),1,English Grammar Wordlist Educational Infographic,Partial,Still P1,"homophones/homonyms absent from topic slugs and CONCEPT_SYNONYMS; inventory gap"
mbti marvel,P1 template_gap,5 (total results),2,"MBTI Marvel Superhero Infographic; MBTI Character Visualization",Yes,Partial,2 directly relevant templates; still thin on dedicated MBTI×Marvel coverage
wedding planner,P1 template_gap,7 (total results),4,"East Asian Culture Comparison Infographic; Relationship Advice Infographic; Cultural Festival Educational Poster; Bilingual Vocabulary Visual Guide",Mixed,Partial,"4 templates via inspiration search_aliases; 3 of 4 weakly related via broad alias set; no concept-expansion noise (alias data quality issue, not expansion)"
cuban sandwich recipe poster,P1 template_gap,4 (total results),5 (1 strict + 4 expanded),"Culinary Panorama Science Infographic; Recipe Visual Guide: Food Photography Posters Made Simple; Cooking Tip and Food Infographic; Classic Spirits Cocktail Recipe Grid Poster",Yes,Resolved,"cuban+sandwich expansions fire correctly (no lang-learning signals in query); 5 food/recipe/poster templates all relevant; World Travel Map noise removed after precision fix"
bilingual flashcards for kids learning korean fruits,P1 template_gap,6 (total results),1 (1 strict + 0 expanded),Bilingual Vocabulary Visual Guide,Yes,Still P1,"korean→cuisine expansion now suppressed by bilingual+flashcards+kids+learning co-signals; Korean food templates removed; 1 directly relevant template remains; inventory gap is bottleneck"
watercolor map of europe travel destinations,P1 template_gap,2 (total results),1 (1 strict + 0 expanded),Watercolor Continent / World Map,Yes,Still P1,"watercolor expansion removed; Dog Breed/Cultural Relics/Food templates gone; 1 strict-match is directly relevant; inventory gap is bottleneck"
marvel mbti character chart 16 types,P1 template_gap,7 (total results),0,,No,Still P1,"6-token strict-AND impossible; no dedicated MBTI×Marvel 16-types chart template exists; inventory gap"
lunar new year red envelope graphic design,P1 template_gap,4 (total results),1,Lunar New Year Red Envelope Set Generator,Yes,Still P1,1 correct template; multi-token AND fails broader set; thin content inventory (9 inspirations only)
before after kitchen organization makeover,P1 template_gap,3 (total results),1,Home Organization Before & After Poster,Yes,Still P1,"1 correct template; kitchen/makeover/organization not co-occurring in any single blob; needs more before-after templates"
Spanish vocabulary printable,P1 template_gap,6 (total results),1,Bilingual Vocabulary Visual Guide,Partial,Still P1,"Spanish+vocabulary+printable strict-AND fails; Spanish absent from template blobs; no language-specific concept synonym"
book lovers gift guide,P1 template_gap,2 (total results),3,"Book Recommendation Grid Poster; Minimalist Book Summary Poster; Top 10 Visual Guide Educational Infographic",Yes,Partial,"Improved 2→3; guide is stopword so tokens are [book, lovers, gift]; topic slugs added book coverage"
